,시군구,환경지표_score
0,송파구,48.71522932797662
1,서대문구,46.19379882574886
2,강동구,55.14826653218568
3,양천구,65.10383413720601
4,강서구,77.83118571908382
5,강동구,55.14826653218568
6,강남구,19.071216500868555
7,광진구,60.19373183370286
8,강남구,19.071216500868555
9,노원구,73.82736650264715
10,종로구,32.34150469437501
11,강남구,19.071216500868555
12,성북구,50.47278696655239
13,동작구,41.2546940816567
14,종로구,32.34150469437501
15,강서구,77.83118571908382
16,강서구,77.83118571908382
17,마포구,36.21928010941029
18,종로구,32.34150469437501
19,구로구,70.97225945894482
20,성동구,38.34684585486745
21,동대문구,58.57481779644922
22,동대문구,58.57481779644922
23,성북구,50.47278696655239
24,성북구,50.47278696655239
25,성북구,50.47278696655239
26,구로구,70.97225945894482
27,강서구,77.83118571908382
28,영등포구,25.401158874725976
29,광진구,60.19373183370286
30,강동구,55.14826653218568
31,마포구,36.21928010941029
32,관악구,77.86743315829996
33,관악구,77.86743315829996
34,광진구,60.19373183370286
35,양천구,65.10383413720601
36,양천구,65.10383413720601
37,노원구,73.82736650264715
38,구로구,70.97225945894482
39,관악구,77.86743315829996
40,구로구,70.97225945894482
41,구로구,70.97225945894482
42,강남구,19.071216500868555
43,금천구,90.22911414798968
44,양천구,65.10383413720601
45,금천구,90.22911414798968
46,성동구,38.34684585486745
47,관악구,77.86743315829996
48,노원구,73.82736650264715
49,도봉구,89.94662719895763
50,강남구,19.071216500868555
51,강남구,19.071216500868555
52,관악구,77.86743315829996
53,중구,35.48083657280671
54,동대문구,58.57481779644922
55,종로구,32.34150469437501
56,은평구,74.88196584935213
57,종로구,32.34150469437501
58,영등포구,25.401158874725976
59,광진구,60.19373183370286
60,광진구,60.19373183370286
61,광진구,60.19373183370286
62,강서구,77.83118571908382
63,양천구,65.10383413720601
64,성북구,50.47278696655239
65,노원구,73.82736650264715
66,강남구,19.071216500868555
67,노원구,73.82736650264715
68,종로구,32.34150469437501
69,성동구,38.34684585486745
70,강서구,77.83118571908382
71,강서구,77.83118571908382
72,구로구,70.97225945894482
73,도봉구,89.94662719895763
74,성동구,38.34684585486745
75,금천구,90.22911414798968
76,성북구,50.47278696655239
77,동대문구,58.57481779644922
78,광진구,60.19373183370286
79,서초구,20.295261744023893
80,은평구,74.88196584935213
81,은평구,74.88196584935213
82,강동구,55.14826653218568
83,종로구,32.34150469437501
84,강서구,77.83118571908382
85,금천구,90.22911414798968
86,동작구,41.2546940816567
87,강동구,55.14826653218568
88,강서구,77.83118571908382
89,중구,35.48083657280671
90,강서구,77.83118571908382
91,중랑구,98.7011022964834
92,강서구,77.83118571908382
93,강서구,77.83118571908382
94,강서구,77.83118571908382
95,강동구,55.14826653218568
96,서대문구,46.19379882574886
97,양천구,65.10383413720601
98,성동구,38.34684585486745
99,금천구,90.22911414798968
100,송파구,48.71522932797662
101,송파구,48.71522932797662
102,노원구,73.82736650264715
103,관악구,77.86743315829996
104,관악구,77.86743315829996
105,강북구,105.36993886865436
106,서초구,20.295261744023893
107,송파구,48.71522932797662
108,송파구,48.71522932797662
109,용산구,38.59397973907843
110,강동구,55.14826653218568
111,종로구,32.34150469437501
112,양천구,65.10383413720601
113,송파구,48.71522932797662
114,용산구,38.59397973907843
115,송파구,48.71522932797662
116,노원구,73.82736650264715
117,강북구,105.36993886865436
118,관악구,77.86743315829996
119,노원구,73.82736650264715
120,노원구,73.82736650264715
121,종로구,32.34150469437501
122,서초구,20.295261744023893
123,마포구,36.21928010941029
124,강동구,55.14826653218568
125,강동구,55.14826653218568
126,노원구,73.82736650264715
127,서초구,20.295261744023893
128,구로구,70.97225945894482
129,서초구,20.295261744023893
130,동작구,41.2546940816567
131,구로구,70.97225945894482
132,종로구,32.34150469437501
133,관악구,77.86743315829996
134,종로구,32.34150469437501
135,양천구,65.10383413720601
136,성북구,50.47278696655239
137,성북구,50.47278696655239
138,노원구,73.82736650264715
139,마포구,36.21928010941029
140,용산구,38.59397973907843
141,강남구,19.071216500868555
142,금천구,90.22911414798968
143,관악구,77.86743315829996
144,도봉구,89.94662719895763
145,관악구,77.86743315829996
146,성동구,38.34684585486745
147,강남구,19.071216500868555
148,강서구,77.83118571908382
149,노원구,73.82736650264715
150,마포구,36.21928010941029
151,관악구,77.86743315829996
152,양천구,65.10383413720601
153,종로구,32.34150469437501
154,도봉구,89.94662719895763
155,중구,35.48083657280671
156,송파구,48.71522932797662
157,서초구,20.295261744023893
158,송파구,48.71522932797662
159,강동구,55.14826653218568
160,강서구,77.83118571908382
161,종로구,32.34150469437501
162,서초구,20.295261744023893
163,성북구,50.47278696655239
164,도봉구,89.94662719895763
165,용산구,38.59397973907843
166,강동구,55.14826653218568
167,영등포구,25.401158874725976
168,은평구,74.88196584935213
169,은평구,74.88196584935213
170,은평구,74.88196584935213
171,은평구,74.88196584935213
172,광진구,60.19373183370286
173,동작구,41.2546940816567
174,강동구,55.14826653218568
175,중구,35.48083657280671
176,중구,35.48083657280671
177,중구,35.48083657280671
178,관악구,77.86743315829996
179,성동구,38.34684585486745
180,성동구,38.34684585486745
181,성북구,50.47278696655239
182,용산구,38.59397973907843
183,강북구,105.36993886865436
184,도봉구,89.94662719895763
185,은평구,74.88196584935213
186,구로구,70.97225945894482
187,강서구,77.83118571908382
188,서초구,20.295261744023893
189,서초구,20.295261744023893
190,중랑구,98.7011022964834
191,중랑구,98.7011022964834
192,중랑구,98.7011022964834
193,동작구,41.2546940816567
194,강남구,19.071216500868555
195,노원구,73.82736650264715
196,강서구,77.83118571908382
197,강남구,19.071216500868555
198,마포구,36.21928010941029
199,은평구,74.88196584935213
200,동작구,41.2546940816567
201,용산구,38.59397973907843
202,은평구,74.88196584935213
203,구로구,70.97225945894482
204,관악구,77.86743315829996
205,양천구,65.10383413720601
206,양천구,65.10383413720601
207,강북구,105.36993886865436
208,은평구,74.88196584935213
209,중랑구,98.7011022964834
210,강남구,19.071216500868555
211,서초구,20.295261744023893
212,양천구,65.10383413720601
213,양천구,65.10383413720601
214,서초구,20.295261744023893
215,영등포구,25.401158874725976
216,영등포구,25.401158874725976
217,노원구,73.82736650264715
218,노원구,73.82736650264715
219,강남구,19.071216500868555
220,송파구,48.71522932797662
221,동작구,41.2546940816567
222,강서구,77.83118571908382
223,영등포구,25.401158874725976
224,관악구,77.86743315829996
225,관악구,77.86743315829996
226,노원구,73.82736650264715
227,영등포구,25.401158874725976
228,노원구,73.82736650264715
229,강서구,77.83118571908382
230,송파구,48.71522932797662
231,강북구,105.36993886865436
232,구로구,70.97225945894482
233,은평구,74.88196584935213
234,은평구,74.88196584935213
235,송파구,48.71522932797662
236,구로구,70.97225945894482
237,용산구,38.59397973907843
238,성북구,50.47278696655239
239,용산구,38.59397973907843
240,용산구,38.59397973907843
241,노원구,73.82736650264715
242,구로구,70.97225945894482
243,중랑구,98.7011022964834
244,노원구,73.82736650264715
245,구로구,70.97225945894482
246,강남구,19.071216500868555
247,은평구,74.88196584935213
248,은평구,74.88196584935213
249,중구,35.48083657280671
250,중랑구,98.7011022964834
251,서대문구,46.19379882574886
252,중구,35.48083657280671
253,노원구,73.82736650264715
254,서대문구,46.19379882574886
255,관악구,77.86743315829996
256,송파구,48.71522932797662
257,광진구,60.19373183370286
258,도봉구,89.94662719895763
259,송파구,48.71522932797662
260,송파구,48.71522932797662
261,송파구,48.71522932797662
262,송파구,48.71522932797662
263,중구,35.48083657280671
264,영등포구,25.401158874725976
265,노원구,73.82736650264715
266,송파구,48.71522932797662
267,도봉구,89.94662719895763
268,동대문구,58.57481779644922
269,용산구,38.59397973907843
270,강남구,19.071216500868555
271,강남구,19.071216500868555
272,종로구,32.34150469437501
273,강남구,19.071216500868555
274,서대문구,46.19379882574886
275,중랑구,98.7011022964834
276,은평구,74.88196584935213
277,양천구,65.10383413720601
278,강남구,19.071216500868555
279,송파구,48.71522932797662
280,도봉구,89.94662719895763
281,강북구,105.36993886865436
282,강남구,19.071216500868555
283,동대문구,58.57481779644922
284,노원구,73.82736650264715
285,노원구,73.82736650264715
286,은평구,74.88196584935213
287,중랑구,98.7011022964834
288,강남구,19.071216500868555
289,은평구,74.88196584935213
290,양천구,65.10383413720601
291,영등포구,25.401158874725976
292,강서구,77.83118571908382
293,노원구,73.82736650264715
294,강서구,77.83118571908382
295,서대문구,46.19379882574886
296,서대문구,46.19379882574886
297,성북구,50.47278696655239
298,마포구,36.21928010941029
299,중구,35.48083657280671
300,성동구,38.34684585486745
301,강동구,55.14826653218568
302,강동구,55.14826653218568
303,동대문구,58.57481779644922
304,동대문구,58.57481779644922
305,강남구,19.071216500868555
306,노원구,73.82736650264715
307,중랑구,98.7011022964834
308,강북구,105.36993886865436
309,성북구,50.47278696655239
310,마포구,36.21928010941029
311,마포구,36.21928010941029
312,강서구,77.83118571908382
313,강서구,77.83118571908382
314,중구,35.48083657280671
315,도봉구,89.94662719895763
316,동대문구,58.57481779644922
317,동대문구,58.57481779644922
318,강남구,19.071216500868555
319,동대문구,58.57481779644922
