,학교명,위해지표_score,경감지표_score,total_score,종합_위험도
0,가락고등학교,20,-20,22.009758025979473,안전
1,가재울고등학교,100,-20,41.95342124197851,위험
2,강동고등학교,60,-20,35.50411264562896,위험
3,강서고등학교,100,-100,28.336669629046675,보통
4,강서공업고등학교,40,-40,35.04614573199677,보통
5,강일고등학교,100,-80,29.347232645628957,보통
6,개포고등학교,40,-20,13.712003905190665,매우안전
7,건국대학교사범대학부속고등학교,0,-40,16.421938570206187,매우안전
8,경기고등학교,0,-100,-19.111596094809343,매우안전
9,경기기계공업고등학교,40,-20,38.78166913430498,위험
10,경기상업고등학교,40,-20,19.787699192282048,안전
11,경기여자고등학교,40,-20,13.712003905190665,매우안전
12,경동고등학교,100,-80,27.20660173034028,보통
13,경문고등학교,100,-60,28.55481164773387,보통
14,경복고등학교,0,-80,-7.467260807717956,매우안전
15,경복비즈니스고등학교,100,-40,50.869705731996774,매우위험
16,경복여자고등학교,100,-40,50.869705731996774,매우위험
17,경성고등학교,100,-80,20.680747643852634,안전
18,경신고등학교,20,-100,-7.761380807717956,매우안전
19,경인고등학교,100,-20,53.29804121520222,매우위험
20,경일고등학교,0,-60,0.8508765998842271,매우안전
21,경희고등학교,20,-40,20.955251729561905,안전
22,경희여자고등학교,100,-40,42.053331729561904,위험
23,계성고등학교,100,-40,38.343881730340286,위험
24,고려대학교사범대학부속고등학교,60,-20,33.36348173034028,보통
25,고명외식고등학교,0,-60,6.402641730340282,매우안전
26,고척고등학교,100,-60,42.16076121520222,위험
27,공항고등학교,40,-20,40.614785731996776,위험
28,관악고등학교,100,-20,32.43367738152229,보통
29,광남고등학교,0,-40,16.421938570206187,매우안전
30,광문고등학교,100,-20,46.053152645628955,매우위험
31,광성고등학교,100,-20,37.38666764385263,위험
32,광신고등학교,100,-20,56.454941332062376,매우위험
33,광신방송예술고등학교,100,-20,56.454941332062376,매우위험
34,광양고등학교,100,-60,37.22589857020619,위험
35,광영고등학교,100,-80,33.90530962904668,보통
36,광영여자고등학교,40,-80,18.081749629046676,안전
37,광운인공지능고등학교,0,-60,17.095349134304982,안전
38,구로고등학교,100,-60,42.16076121520222,위험
39,구암고등학교,100,-20,56.454941332062376,매우위험
40,구일고등학교,100,-20,53.29804121520222,매우위험
41,구현고등학교,100,-80,36.59212121520222,위험
42,국립국악고등학교,100,-100,7.2610039051906625,매우안전
43,국립전통예술고등학교,40,-60,35.1537980797439,위험
44,금옥여자고등학교,100,-20,50.611229629046676,매우위험
45,금천고등학교,100,-60,50.9773580797439,매우위험
46,금호고등학교,100,-100,16.086196599884225,매우안전
47,남강고등학교,40,-60,29.494101332062378,보통
48,노원고등학교,0,-20,28.23262913430498,보통
49,누원고등학교,100,-40,56.41666369002516,매우위험
50,단국대학교부속소프트웨어고등학교,100,-100,7.2610039051906625,매우안전
51,단국대학교사범대학부속고등학교,100,-100,7.2610039051906625,매우안전
52,당곡고등학교,100,-60,45.31766133206238,매우위험
53,대경생활과학고등학교,0,-100,-11.598582821833034,매우안전
54,대광고등학교,80,-60,31.210171729561907,보통
55,대동세무고등학교,40,-20,19.787699192282048,안전
56,대성고등학교,100,-20,55.088069008399074,매우위험
57,대신고등학교,60,-40,19.493579192282045,안전
58,대영고등학교,100,-60,21.29639738152229,안전
59,대원고등학교,100,-40,42.794538570206186,위험
60,대원여자고등학교,60,-40,32.24549857020618,보통
61,대원외국어고등학교,100,-40,42.794538570206186,위험
62,대일고등학교,0,-60,18.92846573199678,안전
63,대일관광고등학교,20,-20,29.513149629046673,보통
64,대일외국어고등학교,20,-20,22.814441730340278,안전
65,대진고등학교,20,-20,33.50714913430498,보통
66,대진디자인고등학교,40,-20,13.712003905190665,매우안전
67,대진여자고등학교,100,-40,49.036589134304975,매우위험
68,덕성여자고등학교,60,-40,19.493579192282045,안전
69,덕수고등학교,100,-80,21.654836599884227,안전
70,덕원여자고등학교,100,-40,50.869705731996774,매우위험
71,덕원예술고등학교,20,-40,29.77162573199678,보통
72,덕일전자공업고등학교,20,-40,26.631321215202217,보통
73,도봉고등학교,100,-20,61.98530369002516,매우위험
74,도선고등학교,0,-100,-10.286403400115777,매우안전
75,독산고등학교,60,-60,40.428318079743896,위험
76,동구마케팅고등학교,100,-80,27.20660173034028,보통
77,동국대학교사범대학부속고등학교,100,-40,42.053331729561904,위험
78,동국대학교사범대학부속여자고등학교,40,-60,21.40233857020619,안전
79,동덕여자고등학교,60,-20,19.54694322740739,안전
80,동명생활경영고등학교,80,-80,33.10762900839908,보통
81,동명여자고등학교,20,-60,22.85270900839908,안전
82,동북고등학교,0,-20,19.680552645628957,안전
83,동성고등학교,40,-40,14.219059192282046,매우안전
84,동양고등학교,100,-20,56.438345731996776,매우위험
85,동일여자고등학교,40,-40,40.722438079743895,위험
86,동작고등학교,100,-60,28.55481164773387,보통
87,둔촌고등학교,100,-40,40.48451264562895,위험
88,등촌고등학교,60,-20,45.88930573199678,매우위험
89,리라아트고등학교,80,-20,31.77405717816697,보통
90,마포고등학교,0,-40,24.49710573199678,안전
91,면목고등학교,100,-80,49.287550077626555,매우위험
92,명덕고등학교,100,-80,39.73242573199678,위험
93,명덕여자고등학교,100,-80,39.73242573199678,위험
94,명덕외국어고등학교,60,-20,45.88930573199678,매우위험
95,명일여자고등학교,20,-20,24.95507264562896,안전
96,명지고등학교,40,-60,14.992581241978513,매우안전
97,목동고등학교,40,-40,29.219029629046677,보통
98,무학여자고등학교,100,-100,16.086196599884225,매우안전
99,문일고등학교,100,-20,62.1146380797439,매우위험
100,문정고등학교,100,-80,26.401918025979477,보통
101,문현고등학교,100,-40,37.53919802597947,위험
102,미래산업과학고등학교,0,-20,28.23262913430498,보통
103,미림여자고등학교,100,-60,45.31766133206238,매우위험
104,미림여자정보과학고등학교,40,-80,23.925461332062376,안전
105,미양고등학교,100,-20,69.04674355150244,매우위험
106,반포고등학교,100,-20,30.095983227407388,보통
107,방산고등학교,100,-20,43.107838025979476,위험
108,배명고등학교,100,-80,26.401918025979477,보통
109,배문고등학교,100,-20,38.47390487169915,위험
110,배재고등학교,100,-40,40.48451264562895,위험
111,배화여자고등학교,100,-100,13.336699192282047,매우안전
112,백암고등학교,100,-20,50.611229629046676,매우위험
113,보성고등학교,100,-20,43.107838025979476,위험
114,보성여자고등학교,100,-20,38.47390487169915,위험
115,보인고등학교,100,-80,26.401918025979477,보통
116,불암고등학교,100,-40,49.036589134304975,매우위험
117,삼각산고등학교,100,-80,52.340823551502446,매우위험
118,삼성고등학교,100,-20,56.454941332062376,매우위험
119,상계고등학교,100,-40,49.036589134304975,매우위험
120,상명고등학교,20,-20,33.50714913430498,보통
121,상명대학교사범대학부속여자고등학교,40,-20,19.787699192282048,안전
122,상문고등학교,100,-20,30.095983227407388,보통
123,상암고등학교,60,-80,10.131707643852629,매우안전
124,상일미디어고등학교,40,-20,30.229592645628955,보통
125,상일여자고등학교,100,-20,46.053152645628955,매우위험
126,서라벌고등학교,40,-20,38.78166913430498,위험
127,서문여자고등학교,100,-60,18.95870322740739,안전
128,서서울생활과학고등학교,0,-20,26.925441215202213,보통
129,서울고등학교,0,-80,-12.982536772592614,매우안전
130,서울공업고등학교,100,-80,22.98617164773387,안전
131,서울공연예술고등학교,60,-20,42.74900121520221,위험
132,서울과학고등학교,100,-100,13.336699192282047,매우안전
133,서울관광고등학교,100,-100,34.180381332062375,보통
134,서울국제고등학교,100,-100,13.336699192282047,매우안전
135,서울금융고등학교,40,-40,29.219029629046677,보통
136,서울대학교사범대학부설고등학교,40,-20,28.08896173034028,보통
137,서울도시과학기술고등학교,80,-40,33.069361730340276,보통
138,서울동산고등학교,40,-80,22.075749134304978,안전
139,서울디자인고등학교,100,-20,37.38666764385263,위험
140,서울디지텍고등학교,100,-20,38.47390487169915,위험
141,서울로봇고등학교,100,-80,12.829643905190665,매우안전
142,서울매그넷고등학교,0,-40,30.173398079743894,보통
143,서울문영여자고등학교,40,-20,40.631381332062375,위험
144,서울문화고등학교,100,-20,61.98530369002516,매우위험
145,서울미술고등학교,40,-60,29.494101332062378,보통
146,서울방송고등학교,40,-20,22.537196599884226,안전
147,서울세종고등학교,100,-40,23.966923905190665,안전
148,서울신정고등학교,20,-20,35.34026573199678,위험
149,서울아이티고등학교,40,-20,38.78166913430498,위험
150,서울여자고등학교,100,-20,37.38666764385263,위험
151,서울여자상업고등학교,100,-20,56.454941332062376,매우위험
152,서울영상고등학교,100,-100,28.336669629046675,보통
153,서울예술고등학교,20,-40,8.944539192282047,매우안전
154,서울외국어고등학교,0,-20,35.61270369002516,위험
155,서울의료보건고등학교,80,-100,9.499497178166969,매우안전
156,서울인공지능고등학교,0,-20,16.735238025979477,안전
157,서울전자고등학교,100,-20,30.095983227407388,보통
158,서울체육고등학교,60,-20,32.55879802597947,보통
159,서울컨벤션고등학교,20,-20,24.95507264562896,안전
160,서울항공비즈니스고등학교,40,-20,40.614785731996776,위험
161,서일문화예술고등학교,100,-100,13.336699192282047,매우안전
162,서초고등학교,100,-20,30.095983227407388,보통
163,석관고등학교,100,-60,32.775241730340284,보통
164,선덕고등학교,100,-80,45.27938369002516,매우위험
165,선린인터넷고등학교,100,-40,32.905264871699146,보통
166,선사고등학교,40,-40,24.660952645628957,안전
167,선유고등학교,100,-20,32.43367738152229,보통
168,선일빅데이터고등학교,100,-60,43.95078900839908,위험
169,선일여자고등학교,100,-60,43.95078900839908,위험
170,선정고등학교,100,-60,43.95078900839908,위험
171,선정국제관광고등학교,40,-60,28.127229008399077,보통
172,선화예술고등학교,100,-60,37.22589857020619,위험
173,성남고등학교,0,-80,-3.386428352266133,매우안전
174,성덕고등학교,40,-60,19.092312645628958,안전
175,성동고등학교,80,-60,20.636777178166973,안전
176,성동공업고등학교,80,-80,15.068137178166971,매우안전
177,성동글로벌경영고등학교,80,-100,9.499497178166969,매우안전
178,성보고등학교,20,-80,18.650941332062374,안전
179,성수고등학교,40,-20,22.537196599884226,안전
180,성수공업고등학교,100,-100,16.086196599884225,매우안전
181,성신여자고등학교,60,-20,33.36348173034028,보통
182,성심여자고등학교,100,-20,38.47390487169915,위험
183,성암국제무역고등학교,100,-40,63.47810355150244,매우위험
184,세그루패션디자인고등학교,100,-40,56.41666369002516,매우위험
185,세명컴퓨터고등학교,0,-80,12.009549008399077,매우안전
186,세종과학고등학교,60,-80,26.043081215202214,안전
187,세현고등학교,100,-80,39.73242573199678,위험
188,세화고등학교,100,-40,24.52734322740739,안전
189,세화여자고등학교,100,-40,24.52734322740739,안전
190,송곡고등학교,100,-20,65.99347007762655,매우위험
191,송곡관광고등학교,40,-20,50.169910077626554,매우위험
192,송곡여자고등학교,20,-80,28.18947007762656,보통
193,수도여자고등학교,40,-20,23.868531647733867,안전
194,수도전기공업고등학교,40,-20,13.712003905190665,매우안전
195,수락고등학교,20,-40,27.938509134304983,보통
196,수명고등학교,100,-40,50.869705731996774,매우위험
197,숙명여자고등학교,100,-20,29.535563905190664,보통
198,숭문고등학교,100,-60,26.249387643852636,안전
199,숭실고등학교,100,-40,49.51942900839907,매우위험
200,숭의여자고등학교,100,-80,22.98617164773387,안전
201,신광여자고등학교,80,-20,33.19938487169915,보통
202,신도고등학교,100,-20,55.088069008399074,매우위험
203,신도림고등학교,100,-20,53.29804121520222,매우위험
204,신림고등학교,100,-100,34.180381332062375,보통
205,신목고등학교,100,-20,50.611229629046676,매우위험
206,신서고등학교,40,-100,12.513109629046674,매우안전
207,신일고등학교,0,-20,42.674143551502446,위험
208,신진과학기술고등학교,100,-60,43.95078900839908,위험
209,신현고등학교,20,-20,44.89539007762656,매우위험
210,압구정고등학교,20,-40,2.868843905190662,매우안전
211,양재고등학교,20,-20,8.997903227407388,매우안전
212,양정고등학교,100,-20,50.611229629046676,매우위험
213,양천고등학교,100,-60,39.47394962904668,위험
214,언남고등학교,0,-60,-7.4138967725926115,매우안전
215,여의도고등학교,40,-20,16.610117381522294,안전
216,여의도여자고등학교,40,-20,16.610117381522294,안전
217,염광고등학교,40,-20,38.78166913430498,위험
218,염광여자메디텍고등학교,0,-20,28.23262913430498,보통
219,영동고등학교,40,-60,2.574723905190666,매우안전
220,영동일고등학교,0,-20,16.735238025979477,안전
221,영등포고등학교,100,-40,34.12345164773387,보통
222,영등포공업고등학교,60,-20,45.88930573199678,매우위험
223,영등포여자고등학교,80,-80,10.453237381522293,매우안전
224,영락고등학교,0,-60,18.945061332062373,안전
225,영락의료과학고등학교,0,-60,18.945061332062373,안전
226,영신간호비즈니스고등학교,0,-80,11.52670913430498,매우안전
227,영신고등학교,20,-40,5.7669573815222925,매우안전
228,영신여자고등학교,100,-20,54.60522913430498,매우위험
229,영일고등학교,20,-100,13.065705731996779,매우안전
230,영파여자고등학교,100,-80,26.401918025979477,보통
231,영훈고등학교,80,-40,58.20358355150245,매우위험
232,예림디자인고등학교,60,-20,42.74900121520221,위험
233,예일디자인고등학교,100,-60,43.95078900839908,위험
234,예일여자고등학교,0,-60,17.57818900839908,안전
235,오금고등학교,100,-40,37.53919802597947,위험
236,오류고등학교,40,-20,37.47448121520222,위험
237,오산고등학교,40,-40,17.08170487169915,안전
238,용문고등학교,0,-20,17.539921730340282,안전
239,용산고등학교,20,-40,11.807184871699146,매우안전
240,용산철도고등학교,40,-80,5.944424871699148,매우안전
241,용화여자고등학교,100,-80,37.89930913430498,위험
242,우신고등학교,20,-20,32.199961215202215,보통
243,원묵고등학교,100,-40,60.42483007762655,매우위험
244,월계고등학교,100,-20,54.60522913430498,매우위험
245,유한공업고등학교,0,-20,26.925441215202213,보통
246,은광여자고등학교,20,-100,-13.83707609480934,매우안전
247,은평고등학교,20,-20,33.98998900839908,보통
248,은평메디텍고등학교,0,-20,28.715469008399076,보통
249,이화여자고등학교,100,-40,31.479937178166967,보통
250,이화여자대학교병설미디어고등학교,100,-20,65.99347007762655,매우위험
251,이화여자대학교사범대학부속이화금란고등학교,100,-20,41.95342124197851,위험
252,이화여자외국어고등학교,100,-20,37.048577178166965,위험
253,인덕과학기술고등학교,40,-80,22.075749134304978,안전
254,인창고등학교,100,-60,30.816141241978514,보통
255,인헌고등학교,100,-60,45.31766133206238,매우위험
256,일신여자상업고등학교,60,-20,32.55879802597947,보통
257,자양고등학교,100,-100,26.088618570206187,안전
258,자운고등학교,20,-20,40.88722369002516,위험
259,잠신고등학교,100,-20,43.107838025979476,위험
260,잠실고등학교,100,-80,26.401918025979477,보통
261,잠실여자고등학교,100,-20,43.107838025979476,위험
262,잠일고등학교,0,-40,11.166598025979475,매우안전
263,장충고등학교,0,-60,-0.46130282183302995,매우안전
264,장훈고등학교,80,-40,21.590517381522293,안전
265,재현고등학교,40,-80,22.075749134304978,안전
266,정신여자고등학교,20,-20,22.009758025979473,안전
267,정의여자고등학교,100,-20,61.98530369002516,매우위험
268,정화여자상업고등학교,80,-100,20.072891729561903,안전
269,중경고등학교,0,-20,12.101304871699147,매우안전
270,중동고등학교,100,-100,7.2610039051906625,매우안전
271,중산고등학교,100,-80,12.829643905190665,매우안전
272,중앙고등학교,20,-20,14.513179192282047,매우안전
273,중앙대학교사범대학부속고등학교,100,-20,29.535563905190664,보통
274,중앙여자고등학교,20,-20,20.855341241978508,안전
275,중화고등학교,0,-80,22.914950077626557,안전
276,진관고등학교,100,-40,49.51942900839907,매우위험
277,진명여자고등학교,60,-40,34.49354962904667,보통
278,진선여자고등학교,100,-100,7.2610039051906625,매우안전
279,창덕여자고등학교,60,-20,32.55879802597947,보통
280,창동고등학교,0,-20,35.61270369002516,위험
281,창문여자고등학교,80,-80,47.06630355150245,매우위험
282,청담고등학교,60,-20,18.98652390519066,안전
283,청량고등학교,100,-100,25.347411729561905,안전
284,청원고등학교,40,-40,33.213029134304975,보통
285,청원여자고등학교,100,-40,49.036589134304975,매우위험
286,충암고등학교,100,-60,43.95078900839908,위험
287,태릉고등학교,0,-20,39.620870077626556,위험
288,풍문고등학교,40,-20,13.712003905190665,매우안전
289,하나고등학교,100,-20,55.088069008399074,매우위험
290,한가람고등학교,100,-20,50.611229629046676,매우위험
291,한강미디어고등학교,100,-20,32.43367738152229,보통
292,한광고등학교,100,-20,56.438345731996776,매우위험
293,한국삼육고등학교,40,-20,38.78166913430498,위험
294,한서고등학교,100,-80,39.73242573199678,위험
295,한성고등학교,0,-60,4.443541241978512,매우안전
296,한성과학고등학교,0,-20,15.58082124197851,매우안전
297,한성여자고등학교,100,-80,27.20660173034028,보통
298,한세사이버보안고등학교,40,-40,15.99446764385263,매우안전
299,한양공업고등학교,80,-100,9.499497178166969,매우안전
300,한양대학교사범대학부속고등학교,40,-100,0.2626365998842246,매우안전
301,한영고등학교,100,-20,46.053152645628955,매우위험
302,한영외국어고등학교,100,-20,46.053152645628955,매우위험
303,해성국제컨벤션고등학교,0,-60,10.112091729561904,매우안전
304,해성여자고등학교,40,-60,20.66113172956191,안전
305,현대고등학교,100,-80,12.829643905190665,매우안전
306,혜성여자고등학교,100,-40,49.036589134304975,매우위험
307,혜원여자고등학교,80,-60,49.58167007762656,매우위험
308,혜화여자고등학교,100,-40,63.47810355150244,매우위험
309,홍익대학교사범대학부속고등학교,100,-40,38.343881730340286,위험
310,홍익대학교사범대학부속여자고등학교,0,-80,-5.691852356147372,매우안전
311,홍익디자인고등학교,100,-20,37.38666764385263,위험
312,화곡고등학교,100,-40,50.869705731996774,매우위험
313,화곡보건경영고등학교,40,-40,35.04614573199677,보통
314,환일고등학교,100,-60,25.91129717816697,안전
315,효문고등학교,40,-20,46.16174369002516,매우위험
316,휘경공업고등학교,40,-40,26.229771729561907,안전
317,휘경여자고등학교,100,-40,42.053331729561904,위험
318,휘문고등학교,40,-60,2.574723905190666,매우안전
319,휘봉고등학교,0,-40,15.680731729561902,매우안전
